time_index, expt, max precip [mm/hr]
3740,S0,183.659168697
3740,S1,213.311969678
3740,S2,169.141656655
3740,S3,124.297717085
3740,S4,166.483346169
3741,S0,131.38071619
3741,S1,223.381914078
3741,S2,214.487653683
3741,S3,124.090498052
3741,S4,197.066661016
3742,S0,161.393135693
3742,S1,189.833573301
3742,S2,204.917425199
3742,S3,110.874801433
3742,S4,153.571703438
3743,S0,179.751639235
3743,S1,159.045486456
3743,S2,145.152037092
3743,S3,136.018774035
3743,S4,69.6931831321
3744,S0,159.731023267
3744,S1,151.371635214
3744,S2,74.1449214962
3744,S3,98.917354429
3744,S4,92.7629755269
3745,S0,173.052757341
3745,S1,220.958220277
3745,S2,92.8711388097
3745,S3,110.283099509
3745,S4,97.4744086326
3746,S0,161.829332676
3746,S1,221.607453439
3746,S2,127.553840246
3746,S3,182.039312321
3746,S4,112.31034618
3747,S0,157.861409293
3747,S1,192.032101244
3747,S2,181.749626215
3747,S3,176.115141887
3747,S4,142.014517898
3748,S0,127.381809474
3748,S1,189.615876455
3748,S2,201.010637136
3748,S3,156.172568172
3748,S4,113.363787328
3749,S0,120.565705354
3749,S1,223.320910092
3749,S2,225.824629452
3749,S3,127.779730334
3749,S4,174.936958221
3750,S0,165.401837409
3750,S1,203.599380044
3750,S2,213.547563994
3750,S3,85.6796597607
3750,S4,272.036289356
3751,S0,126.231991615
3751,S1,189.12975244
3751,S2,197.63810584
3751,S3,177.311382081
3751,S4,308.835545428
3752,S0,133.577678147
3752,S1,229.514892786
3752,S2,265.079840932
3752,S3,121.683185441
3752,S4,292.395786636
3753,S0,159.858391994
3753,S1,201.672314153
3753,S2,196.612948645
3753,S3,107.02075983
3753,S4,171.093493769
3754,S0,199.51802016
3754,S1,183.004402399
3754,S2,136.192743932
3754,S3,119.319519959
3754,S4,183.903069672
3755,S0,184.149283028
3755,S1,198.737862701
3755,S2,122.820439515
3755,S3,96.1061307975
3755,S4,162.695097738
3756,S0,149.138185994
3756,S1,178.993756717
3756,S2,184.669719244
3756,S3,142.593266207
3756,S4,99.9255391644
3757,S0,151.155686
3757,S1,123.998989163
3757,S2,217.332156619
3757,S3,207.836511862
3757,S4,107.981821548
3758,S0,203.678043453
3758,S1,139.458080126
3758,S2,212.346827432
3758,S3,165.657948711
3758,S4,79.3600113807
3759,S0,148.64939737
3759,S1,215.816071445
3759,S2,212.948879735
3759,S3,94.7349435611
3759,S4,28.3024583418
3760,S0,174.801056421
3760,S1,147.942170116
3760,S2,190.738307023
3760,S3,178.88815547
3760,S4,5.80463258585
3761,S0,192.574217006
3761,S1,185.826761938
3761,S2,196.553785046
3761,S3,201.415630901
3761,S4,1.25243058736
3762,S0,184.684982708
3762,S1,175.794257759
3762,S2,197.247329369
3762,S3,177.895296807
3762,S4,0.0247877840994
3763,S0,134.036297656
3763,S1,162.719889578
3763,S2,191.5369947
3763,S3,158.772068367
3763,S4,85.3414011866
3764,S0,146.339702134
3764,S1,154.480720093
3764,S2,160.029774013
3764,S3,156.04605265
3764,S4,86.9778158311
3765,S0,197.615620429
3765,S1,120.506514333
3765,S2,213.908018034
3765,S3,126.732729998
3765,S4,179.987599274
3766,S0,174.495248515
3766,S1,150.440041005
3766,S2,182.721722426
3766,S3,150.82644074
3766,S4,108.387960484
3767,S0,149.198664784
3767,S1,149.017826934
3767,S2,171.147706531
3767,S3,182.156086154
3767,S4,158.252370093
3768,S0,181.09759363
3768,S1,128.352291061
3768,S2,182.237330379
3768,S3,260.211880683
3768,S4,141.846057943
3769,S0,121.456276482
3769,S1,144.398702412
3769,S2,125.449826359
3769,S3,235.737638679
3769,S4,120.411273438
3770,S0,106.958674618
3770,S1,187.251166551
3770,S2,131.949150857
3770,S3,209.52094883
3770,S4,117.924349382
3771,S0,137.296641337
3771,S1,159.275291987
3771,S2,184.775316484
3771,S3,149.58509144
3771,S4,161.888760337
3772,S0,177.636227854
3772,S1,162.132501326
3772,S2,178.505215469
3772,S3,150.047681541
3772,S4,105.324759472
3773,S0,151.914380088
3773,S1,187.083369916
3773,S2,175.813202514
3773,S3,134.927186982
3773,S4,105.301219191
3774,S0,209.05844926
3774,S1,178.803509775
3774,S2,223.763844891
3774,S3,78.7957589218
3774,S4,119.980690242
3775,S0,168.313916589
3775,S1,182.045263713
3775,S2,128.290565504
3775,S3,85.7127511144
3775,S4,89.9723213933
3776,S0,196.081780281
3776,S1,140.908387481
3776,S2,234.918152755
3776,S3,65.1009665592
3776,S4,94.7391970323
3777,S0,145.036719495
3777,S1,156.739056386
3777,S2,245.825829188
3777,S3,45.0341665109
3777,S4,137.95260505
3778,S0,198.252104402
3778,S1,139.659917413
3778,S2,178.3933737
3778,S3,31.6668613492
3778,S4,91.950833829
3779,S0,184.700106652
3779,S1,112.595947227
3779,S2,114.690946118
3779,S3,114.961422501
3779,S4,70.6170647251
3780,S0,145.002461852
3780,S1,166.342303567
3780,S2,138.91645048
3780,S3,107.043055984
3780,S4,119.581720841
3781,S0,141.817852232
3781,S1,176.018351351
3781,S2,164.760510707
3781,S3,123.573660602
3781,S4,162.026187582
3782,S0,143.402887676
3782,S1,154.668531207
3782,S2,149.890340094
3782,S3,241.446374151
3782,S4,237.287921148
3783,S0,165.891513525
3783,S1,199.829415894
3783,S2,150.006070194
3783,S3,201.603240413
3783,S4,212.594901021
3784,S0,155.428382814
3784,S1,180.12640283
3784,S2,222.510288376
3784,S3,221.537257613
3784,S4,146.720795784
3785,S0,141.510196783
3785,S1,131.934760227
3785,S2,231.544010593
3785,S3,237.482517751
3785,S4,128.086725556
3786,S0,197.199640752
3786,S1,228.33149224
3786,S2,241.302547821
3786,S3,231.205840225
3786,S4,103.91516632
3787,S0,149.691400879
3787,S1,165.299670991
3787,S2,208.427570701
3787,S3,188.734216446
3787,S4,151.002899446
3788,S0,119.716079632
3788,S1,161.196698179
3788,S2,205.412661411
3788,S3,119.740380537
3788,S4,128.86155992
3789,S0,177.13224056
3789,S1,169.135808572
3789,S2,168.822543145
3789,S3,71.5024544408
3789,S4,118.640513808
3790,S0,177.407105501
3790,S1,179.052710546
3790,S2,131.61335633
3790,S3,101.312196449
3790,S4,133.861815509
3791,S0,131.978418735
3791,S1,185.115371634
3791,S2,107.668937407
3791,S3,127.895060203
3791,S4,119.363382998
3792,S0,136.920760716
3792,S1,203.909851736
3792,S2,155.058324652
3792,S3,103.593713861
3792,S4,116.414544589
3793,S0,168.245161738
3793,S1,156.955916899
3793,S2,196.500362705
3793,S3,113.161890467
3793,S4,92.3346195224
3794,S0,172.189689887
3794,S1,165.126017479
3794,S2,193.670146413
3794,S3,122.971915468
3794,S4,84.9769926137
3795,S0,151.321500429
3795,S1,160.304557133
3795,S2,208.238117276
3795,S3,125.009073808
3795,S4,70.7330057691
3796,S0,161.802411076
3796,S1,136.960337128
3796,S2,137.389479363
3796,S3,91.7671816535
3796,S4,61.4301122045
3797,S0,153.013158104
3797,S1,151.806378129
3797,S2,202.998197163
3797,S3,89.043975132
3797,S4,52.1641817497
3798,S0,146.403339546
3798,S1,147.816667776
3798,S2,153.421208786
3798,S3,153.180215322
3798,S4,22.6319595668
3799,S0,177.328095229
3799,S1,168.220232279
3799,S2,163.993890933
3799,S3,130.982620044
3799,S4,71.7453027927
3800,S0,146.780833607
3800,S1,159.164780491
3800,S2,184.664700904
3800,S3,121.817080391
3800,S4,137.304809245
3801,S0,180.759032833
3801,S1,191.641667983
3801,S2,127.781554673
3801,S3,92.5822109894
3801,S4,155.397083885
3802,S0,176.933779993
3802,S1,152.76865343
3802,S2,192.803361706
3802,S3,102.602534439
3802,S4,173.151379127
3803,S0,195.440834962
3803,S1,175.85542814
3803,S2,157.710103374
3803,S3,97.7740982888
3803,S4,145.214789024
3804,S0,159.950722333
3804,S1,172.163339391
3804,S2,139.429122449
3804,S3,63.7915775202
3804,S4,95.9576271329
3805,S0,179.010707955
3805,S1,209.565622988
3805,S2,170.234720046
3805,S3,67.0603329567
3805,S4,116.204906345
3806,S0,140.037556148
3806,S1,173.074986882
3806,S2,168.958440258
3806,S3,63.9242548213
3806,S4,98.3928618766
3807,S0,209.354917084
3807,S1,232.428581837
3807,S2,160.753539009
3807,S3,89.483300857
3807,S4,103.196111273
3808,S0,179.767218716
3808,S1,179.802412496
3808,S2,152.664475375
3808,S3,77.4971906726
3808,S4,98.550187196
3809,S0,152.222877104
3809,S1,162.580737163
3809,S2,143.818552342
3809,S3,85.7516411823
3809,S4,122.780232626
3810,S0,197.15667414
3810,S1,133.965874884
3810,S2,170.390325306
3810,S3,155.305583332
3810,S4,117.505384006
3811,S0,172.884166695
3811,S1,147.550104779
3811,S2,121.651787059
3811,S3,149.625799299
3811,S4,119.722466768
3812,S0,140.439330281
3812,S1,142.246087327
3812,S2,114.177855209
3812,S3,105.445487108
3812,S4,147.504980248
3813,S0,216.946255207
3813,S1,205.771154819
3813,S2,119.639307035
3813,S3,128.467564644
3813,S4,159.013950942
3814,S0,189.823320586
3814,S1,143.337344065
3814,S2,99.8512605028
3814,S3,94.8147976443
3814,S4,159.06445965
3815,S0,133.650672621
3815,S1,129.383751866
3815,S2,120.77755825
3815,S3,114.157111864
3815,S4,147.537801534
3816,S0,132.053811395
3816,S1,168.627101991
3816,S2,110.801792631
3816,S3,83.5554453814
3816,S4,137.062380446
3817,S0,154.632962765
3817,S1,178.842074135
3817,S2,134.720370715
3817,S3,132.10507779
3817,S4,109.149007874
3818,S0,123.965109444
3818,S1,161.789711757
3818,S2,206.971710212
3818,S3,111.022463911
3818,S4,94.7161688227
3819,S0,135.134843715
3819,S1,193.060916898
3819,S2,157.29397782
3819,S3,159.182873424
3819,S4,123.305575993
3820,S0,191.729406549
3820,S1,153.097790859
3820,S2,104.038021494
3820,S3,154.360347158
3820,S4,119.378153998
3821,S0,176.612045293
3821,S1,152.69139884
3821,S2,92.1906627624
3821,S3,148.19881564
3821,S4,70.7943635646
3822,S0,163.888712371
3822,S1,133.178808206
3822,S2,139.616229516
3822,S3,179.461505894
3822,S4,108.807715732
3823,S0,190.749898989
3823,S1,171.932273581
3823,S2,167.884230533
3823,S3,135.231709705
3823,S4,96.0635744763
3824,S0,170.37746072
3824,S1,179.807825569
3824,S2,197.093364365
3824,S3,224.00257071
3824,S4,157.67592252
3825,S0,184.410222099
3825,S1,216.353178236
3825,S2,154.048902726
3825,S3,222.179260619
3825,S4,105.274262538
3826,S0,152.402459007
3826,S1,230.654140126
3826,S2,179.215922483
3826,S3,262.259811333
3826,S4,107.393385535
3827,S0,159.403515689
3827,S1,195.647726564
3827,S2,174.462539855
3827,S3,171.349728244
3827,S4,82.8568511013
3828,S0,150.648083332
3828,S1,158.760051272
3828,S2,181.143952909
3828,S3,146.611275089
3828,S4,89.8851171183
3829,S0,178.598418959
3829,S1,182.334625956
3829,S2,169.237764789
3829,S3,122.104690661
3829,S4,99.1784648937
3830,S0,155.876289286
3830,S1,190.066284017
3830,S2,185.582622341
3830,S3,159.302468493
3830,S4,124.659744223
3831,S0,173.351652207
3831,S1,144.916118748
3831,S2,151.67991159
3831,S3,170.453155611
3831,S4,104.639941285
3832,S0,179.188777646
3832,S1,206.728508056
3832,S2,147.926609085
3832,S3,135.126260131
3832,S4,117.938230985
3833,S0,149.013892843
3833,S1,185.077654515
3833,S2,137.011857762
3833,S3,124.183386788
3833,S4,119.297403585
3834,S0,162.712682617
3834,S1,196.727535944
3834,S2,164.636870744
3834,S3,111.713307831
3834,S4,118.995710005
3835,S0,196.199430296
3835,S1,200.333076181
3835,S2,182.177491539
3835,S3,86.6556775276
3835,S4,63.720938212
3836,S0,154.403477315
3836,S1,167.360743587
3836,S2,170.851182843
3836,S3,141.561892641
3836,S4,116.102602762
3837,S0,207.471853677
3837,S1,147.776699783
3837,S2,184.055953702
3837,S3,140.456145064
3837,S4,127.142438427
3838,S0,185.438450083
3838,S1,144.428746012
3838,S2,146.488265717
3838,S3,118.218846718
3838,S4,133.426832394
3839,S0,167.277859816
3839,S1,153.080079422
3839,S2,180.194541643
3839,S3,99.3482599248
3839,S4,164.657089479
